number,latitude,longitude,meters
01,53.85147572801517,27.63403281558567,184.101
11,53.851523193467216,27.633855789790687,184.051
21,53.85153901527261,27.633705586085853,184.016
31,53.85155483707199,27.633576840053138,184.000
41,53.85157698758114,27.633464187274512,184.000
51,53.851608631145254,27.63330861915165,184.000
61,53.8516149598552,27.633099406848487,184.000
71,53.8516371103325,27.632954567561683,184.000
81,53.85155167271259,27.632906287799415,184.000
91,53.851529522190084,27.63306185592228,184.061
101,53.851513700381105,27.63324961055332,184.117
111,53.8515105360186,27.63348564494663,184.098
121,53.8515105360186,27.633587568889197,184.090
131,53.85148838547431,27.633727043757972,184.122
141,53.851478892380285,27.633877247462806,184.122
151,53.851361810710635,27.63404890883976,184.270
161,53.8514282625093,27.633957713733253,184.193
171,53.851358646336635,27.633871883044776,184.344
181,53.851434591246516,27.63376995910221,184.240
191,53.85140927629187,27.633614390979346,184.327
201,53.85145357745245,27.633432000766334,184.269
211,53.851469399284156,27.633217424045142,184.248
221,53.851469399284156,27.63298138965183,184.288
231,53.85140927629187,27.63281509269291,184.557
241,53.85134598883825,27.633169144282874,184.655
251,53.85124156433061,27.633115500102576,185.052
261,53.8510168925369,27.632841914783057,186.119
271,53.850994741731384,27.63304576266819,185.992
281,53.85121624925919,27.632841914783057,185.315
291,53.85096309770313,27.63305112708622,186.099
301,53.85074475325623,27.632707804332313,187.301
311,53.85059918965886,27.632922381053504,187.402
321,53.85039666555081,27.632858008037147,188.072
331,53.85041248778204,27.63198360789829,188.964
341,53.85052640767032,27.63128623355442,187.926
351,53.85039033665665,27.631141394267615,188.741
361,53.85029223867472,27.631452530513343,189.360
371,53.850298567583714,27.632192820201453,189.210
381,53.85062134067374,27.63224646438175,187.918
391,53.850690958072704,27.631908506045875,187.659
401,53.8507415888356,27.631355970988807,186.772
411,53.85090613839202,27.6312647758823,185.856
421,53.8509852485254,27.631114572177466,185.623
431,53.85092196043063,27.630894631038245,185.827
441,53.85079854837063,27.630218714366492,185.828
451,53.850925124837666,27.630229443202552,185.294
461,53.85080804161893,27.629934400210914,185.370
471,53.85082386369467,27.630470842013892,186.037
481,53.85061817624373,27.63048693526798,187.283
491,53.850453625555254,27.630143612514075,188.114
501,53.85011819320569,27.62944087407959,190.180
511,53.84965301384003,27.627681344965822,190.526
521,53.849703645858455,27.628325075129396,191.052
531,53.84848751107749,27.625767589488532,190.848
541,53.84833561042538,27.62711942283204,193.251
551,53.848259659892626,27.628900409617927,194.682
561,53.84779129522883,27.62555301276734,192.389
571,53.84765205066958,27.627634406962898,196.239
581,53.84750014698577,27.629994750896003,196.894
591,53.848095099932245,27.63130366889527,196.020
601,53.84884194378882,27.630617023387458,194.878
611,53.84955080020831,27.629651428142097,192.357
621,53.84925966420297,27.627012134471443,191.081
631,53.849500168005,27.62529552070191,186.481
641,53.84923434793289,27.624158264079597,185.198
651,53.8489685261727,27.622978092113044,184.000
661,53.848082441446955,27.623643279948737,185.683
671,53.84728494915681,27.62409389106324,187.063
681,53.84650010064115,27.624158264079597,185.038
691,53.846208943417736,27.625016570964362,185.499
701,53.846208943417736,27.626668811717536,194.285
711,53.84633553376371,27.627763152995612,194.833
721,53.84625957960207,27.629222274699714,194.900
731,53.8463861697949,27.630745769420173,195.489
741,53.846284897671254,27.63209760276368,195.329
751,53.846601372244216,27.633127571025398,196.457
761,53.84746217097868,27.63205468741944,196.952
771,53.84737356016151,27.63033807364991,196.950
781,53.84719633796448,27.62885749427369,196.331
791,53.84728494915681,27.62705504981568,196.608
801,53.84743685362149,27.625166774669196,192.120
811,53.84710772658461,27.62585342017701,192.789
821,53.84704443262701,27.627527118602302,196.436
831,53.84699379739203,27.628449798503425,196.595
841,53.84589246587811,27.624244094768073,184.000
851,53.84585448841257,27.62557447043946,187.415
861,53.846158307172175,27.62834251014283,194.414
871,53.84560130442856,27.63128221122315,194.360
881,53.84543673401787,27.632204891124275,195.275
901,53.84531014095403,27.626218200603034,189.663
911,53.844993656619664,27.62930810538819,193.693
921,53.84437334038411,27.628878951945808,193.184
931,53.84380365411228,27.628728748240974,192.900
941,53.84390493223826,27.63031661597779,194.312
951,53.84324662003994,27.630488277354743,193.818
961,53.84271489878466,27.629973293223884,193.060
971,53.841942624935385,27.63005912391236,194.183
981,53.841043730877004,27.629994750896003,196.969
991,53.84038537369027,27.630252242961433,199.249
1001,53.839840955120536,27.630659938731696,200.100
1011,53.839764989175954,27.630252242961433,200.333
